disease,symptoms,context
subarachnoid hemorrhage,"Sudden, severe headache (often described as the worst headache of one's life), nausea, vomiting, stiff neck","subarachnoid hemorrhage: Sudden, severe headache (often described as the worst headache of one's life), nausea, vomiting, stiff neck"
substance abuse disorders,"Dependence on drugs or alcohol, loss of control over use, continued use despite negative consequences, withdrawal symptoms","substance abuse disorders: Dependence on drugs or alcohol, loss of control over use, continued use despite negative consequences, withdrawal symptoms"
subungual hematoma,"Pain, swelling, and discoloration under the toenail or fingernail, throbbing sensation","subungual hematoma: Pain, swelling, and discoloration under the toenail or fingernail, throbbing sensation"
sunburn,"Red, tender, and painful skin, swelling, blistering, headache, fever, nausea","sunburn: Red, tender, and painful skin, swelling, blistering, headache, fever, nausea"
sunstroke,"High body temperature, hot, dry skin, rapid pulse, headache, dizziness, nausea, confusion","sunstroke: High body temperature, hot, dry skin, rapid pulse, headache, dizziness, nausea, confusion"
superior vena cava syndrome,"Swelling of the face, neck, and upper body, difficulty breathing, cough, chest pain, bluish skin color","superior vena cava syndrome: Swelling of the face, neck, and upper body, difficulty breathing, cough, chest pain, bluish skin color"
swimmer's ear,"Itching, pain, and discomfort in the ear canal, drainage of clear, odorless fluid or pus, hearing loss","swimmer's ear: Itching, pain, and discomfort in the ear canal, drainage of clear, odorless fluid or pus, hearing loss"
syndrome of inappropriate antidiuretic hormone (siadh),"Low sodium levels in the blood (hyponatremia), fluid retention, nausea, vomiting, headache, confusion","syndrome of inappropriate antidiuretic hormone (siadh): Low sodium levels in the blood (hyponatremia), fluid retention, nausea, vomiting, headache, confusion"
syphilis,"Painless sores (chancres) on the genitals, rectum, or mouth, skin rash, flu-like symptoms, hair loss","syphilis: Painless sores (chancres) on the genitals, rectum, or mouth, skin rash, flu-like symptoms, hair loss"
syringomyelia,"Muscle weakness, loss of sensation, pain and stiffness in the neck, shoulders, arms, and hands, bladder and bowel problems","syringomyelia: Muscle weakness, loss of sensation, pain and stiffness in the neck, shoulders, arms, and hands, bladder and bowel problems"
systemic lupus erythematosus (sle),"Fatigue, joint pain and swelling, butterfly-shaped rash on the face, fever, chest pain, hair loss, sensitivity to sunlight","systemic lupus erythematosus (sle): Fatigue, joint pain and swelling, butterfly-shaped rash on the face, fever, chest pain, hair loss, sensitivity to sunlight"
systemic mastocytosis,"Skin lesions (urticaria pigmentosa), itching, flushing, abdominal pain, diarrhea, low blood pressure, fainting","systemic mastocytosis: Skin lesions (urticaria pigmentosa), itching, flushing, abdominal pain, diarrhea, low blood pressure, fainting"
tachycardia,"Rapid heartbeat (usually over 100 beats per minute), palpitations, dizziness, shortness of breath, chest pain","tachycardia: Rapid heartbeat (usually over 100 beats per minute), palpitations, dizziness, shortness of breath, chest pain"
taeniasis,"Abdominal pain, nausea, diarrhea, weight loss, malnutrition, worm segments in stool","taeniasis: Abdominal pain, nausea, diarrhea, weight loss, malnutrition, worm segments in stool"
takayasu arteritis,"Fatigue, muscle and joint pain, fever, unintentional weight loss, vision problems, weak or absent pulses","takayasu arteritis: Fatigue, muscle and joint pain, fever, unintentional weight loss, vision problems, weak or absent pulses"
tapeworm infection,"Abdominal pain, nausea, diarrhea, weight loss, weakness, vitamin deficiencies, worm segments in stool","tapeworm infection: Abdominal pain, nausea, diarrhea, weight loss, weakness, vitamin deficiencies, worm segments in stool"
tardive dyskinesia,"Involuntary movements of the face, tongue, lips, or other body parts, such as grimacing, tongue protrusion, or lip smacking","tardive dyskinesia: Involuntary movements of the face, tongue, lips, or other body parts, such as grimacing, tongue protrusion, or lip smacking"
tay-sachs disease,"Loss of motor skills, muscle weakness, loss of vision and hearing, seizures, intellectual disability","tay-sachs disease: Loss of motor skills, muscle weakness, loss of vision and hearing, seizures, intellectual disability"
t-cell lymphoma,"Enlarged lymph nodes, fever, weight loss, night sweats, fatigue, itching, skin rash","t-cell lymphoma: Enlarged lymph nodes, fever, weight loss, night sweats, fatigue, itching, skin rash"
temporal arteritis,"Severe headache, jaw pain, blurred or double vision, scalp tenderness, fever, fatigue","temporal arteritis: Severe headache, jaw pain, blurred or double vision, scalp tenderness, fever, fatigue"
temporal lobe epilepsy,"Changes in sensation, emotions, or behavior, confusion, memory loss, staring spells, repetitive movements or actions","temporal lobe epilepsy: Changes in sensation, emotions, or behavior, confusion, memory loss, staring spells, repetitive movements or actions"
temporomandibular joint disorder (tmj),"Jaw pain or tenderness, clicking or popping sounds when opening or closing the mouth, difficulty chewing or pain while chewing","temporomandibular joint disorder (tmj): Jaw pain or tenderness, clicking or popping sounds when opening or closing the mouth, difficulty chewing or pain while chewing"
temporomandibular joint dysfunction (tmd),"Jaw pain, clicking or popping sounds when moving the jaw, limited range of motion, headaches, neck pain","temporomandibular joint dysfunction (tmd): Jaw pain, clicking or popping sounds when moving the jaw, limited range of motion, headaches, neck pain"
tendinitis,"Pain, tenderness, and swelling around a tendon, stiffness, limited range of motion","tendinitis: Pain, tenderness, and swelling around a tendon, stiffness, limited range of motion"
tennis elbow,"Pain and tenderness on the outer side of the elbow, weakness in the forearm and grip strength","tennis elbow: Pain and tenderness on the outer side of the elbow, weakness in the forearm and grip strength"
tension headache,"Dull, aching head pain, sensation of tightness or pressure across the forehead or on the sides and back of the head","tension headache: Dull, aching head pain, sensation of tightness or pressure across the forehead or on the sides and back of the head"
tension pneumothorax,"Sudden onset of chest pain, shortness of breath, rapid heart rate, cyanosis (bluish skin), decreased or absent breath sounds","tension pneumothorax: Sudden onset of chest pain, shortness of breath, rapid heart rate, cyanosis (bluish skin), decreased or absent breath sounds"
testicular cancer,"Lump or swelling in the testicle, pain or discomfort in the testicle or scrotum, heaviness in the scrotum, back pain","testicular cancer: Lump or swelling in the testicle, pain or discomfort in the testicle or scrotum, heaviness in the scrotum, back pain"
testicular torsion,"Sudden, severe pain in the scrotum, swelling, redness, nausea, vomiting, abdominal pain","testicular torsion: Sudden, severe pain in the scrotum, swelling, redness, nausea, vomiting, abdominal pain"
tetanus,"Muscle stiffness, spasms or rigidity, jaw cramping (lockjaw), difficulty swallowing, fever, sweating","tetanus: Muscle stiffness, spasms or rigidity, jaw cramping (lockjaw), difficulty swallowing, fever, sweating"
tetralogy of fallot,"Cyanosis (bluish skin), shortness of breath, difficulty feeding, poor weight gain, fainting spells","tetralogy of fallot: Cyanosis (bluish skin), shortness of breath, difficulty feeding, poor weight gain, fainting spells"
thalassemia,"Fatigue, weakness, pale or yellowish skin, facial bone deformities, slowed growth and development, abdominal swelling","thalassemia: Fatigue, weakness, pale or yellowish skin, facial bone deformities, slowed growth and development, abdominal swelling"
thoracic outlet syndrome,"Shoulder and neck pain, numbness or tingling in the fingers or hands, weakness, cold fingers, arm swelling","thoracic outlet syndrome: Shoulder and neck pain, numbness or tingling in the fingers or hands, weakness, cold fingers, arm swelling"
threadworm infection,"Anal itching, irritability, disturbed sleep, abdominal pain, diarrhea, weight loss","threadworm infection: Anal itching, irritability, disturbed sleep, abdominal pain, diarrhea, weight loss"
throat cancer,"Persistent sore throat, hoarseness, difficulty swallowing, ear pain, lump in the neck or throat, coughing up blood","throat cancer: Persistent sore throat, hoarseness, difficulty swallowing, ear pain, lump in the neck or throat, coughing up blood"
thrombocytopenia,"Easy or excessive bruising, bleeding gums, prolonged bleeding from cuts, petechiae (small, red or purple spots on the skin)","thrombocytopenia: Easy or excessive bruising, bleeding gums, prolonged bleeding from cuts, petechiae (small, red or purple spots on the skin)"
thrombotic thrombocytopenic purpura (ttp),"Purpura (bruising), petechiae, fatigue, fever, confusion, headache, chest pain, shortness of breath","thrombotic thrombocytopenic purpura (ttp): Purpura (bruising), petechiae, fatigue, fever, confusion, headache, chest pain, shortness of breath"
thrush (oral candidiasis),"Creamy white lesions on the tongue, inner cheeks, or roof of the mouth, soreness, loss of taste, difficulty swallowing","thrush (oral candidiasis): Creamy white lesions on the tongue, inner cheeks, or roof of the mouth, soreness, loss of taste, difficulty swallowing"
thunderclap headache,"Intense headache that reaches maximum intensity within seconds to a few minutes, often a sign of serious underlying condition","thunderclap headache: Intense headache that reaches maximum intensity within seconds to a few minutes, often a sign of serious underlying condition"
thymoma,"Cough, chest pain, difficulty breathing, fever, fatigue, unintentional weight loss","thymoma: Cough, chest pain, difficulty breathing, fever, fatigue, unintentional weight loss"
thyroid cancer,"Lump or swelling in the neck, hoarseness, difficulty swallowing, neck pain, swollen lymph nodes, coughing up blood","thyroid cancer: Lump or swelling in the neck, hoarseness, difficulty swallowing, neck pain, swollen lymph nodes, coughing up blood"
thyroid disorders,"Fatigue, weight changes, sensitivity to cold or heat, dry skin, hair loss, muscle weakness, irregular heart rate","thyroid disorders: Fatigue, weight changes, sensitivity to cold or heat, dry skin, hair loss, muscle weakness, irregular heart rate"
thyroiditis,"Neck pain or tenderness, difficulty swallowing, fatigue, fever, enlarged thyroid gland (goiter)","thyroiditis: Neck pain or tenderness, difficulty swallowing, fatigue, fever, enlarged thyroid gland (goiter)"
tinnitus,"Ringing, buzzing, humming, or other noises in the ears that aren't caused by an external source","tinnitus: Ringing, buzzing, humming, or other noises in the ears that aren't caused by an external source"
tolosa-hunt syndrome,"Severe eye pain, headache, double vision, drooping eyelid, pupil abnormalities, loss of sensation","tolosa-hunt syndrome: Severe eye pain, headache, double vision, drooping eyelid, pupil abnormalities, loss of sensation"
tonic seizures,"Stiffening of muscles, loss of consciousness, falling, breathing difficulties, jerking movements","tonic seizures: Stiffening of muscles, loss of consciousness, falling, breathing difficulties, jerking movements"
tonsil stones,"White or yellowish bumps on the tonsils, bad breath, sore throat, difficulty swallowing","tonsil stones: White or yellowish bumps on the tonsils, bad breath, sore throat, difficulty swallowing"
tonsillitis,"Sore throat, swollen tonsils, difficulty swallowing, fever, headache, tender lymph nodes","tonsillitis: Sore throat, swollen tonsils, difficulty swallowing, fever, headache, tender lymph nodes"
tooth abscess,"Severe, throbbing tooth pain, swelling in the face or cheek, fever, foul-tasting drainage from the infected tooth","tooth abscess: Severe, throbbing tooth pain, swelling in the face or cheek, fever, foul-tasting drainage from the infected tooth"
tooth decay (caries),"Toothache, sensitivity to hot, cold, or sweet foods and drinks, visible pits or holes in the teeth","tooth decay (caries): Toothache, sensitivity to hot, cold, or sweet foods and drinks, visible pits or holes in the teeth"
toothache,"Tooth pain or soreness, sensitivity to hot, cold, or sweet foods and drinks, pain when biting or chewing","toothache: Tooth pain or soreness, sensitivity to hot, cold, or sweet foods and drinks, pain when biting or chewing"
torn meniscus,"Knee pain, swelling, stiffness, popping or clicking sensations, difficulty straightening the knee","torn meniscus: Knee pain, swelling, stiffness, popping or clicking sensations, difficulty straightening the knee"
tourette syndrome,"Involuntary, repetitive movements (tics), such as blinking, shoulder shrugging, or facial grimacing, vocal tics","tourette syndrome: Involuntary, repetitive movements (tics), such as blinking, shoulder shrugging, or facial grimacing, vocal tics"
toxemia,"High blood pressure, protein in urine, swelling in the face, hands, or feet, headache, nausea, vomiting","toxemia: High blood pressure, protein in urine, swelling in the face, hands, or feet, headache, nausea, vomiting"
toxocariasis,"Fever, cough, wheezing, abdominal pain, rash, muscle pain, vision problems, neurological symptoms","toxocariasis: Fever, cough, wheezing, abdominal pain, rash, muscle pain, vision problems, neurological symptoms"
toxoplasmosis,"Mild flu-like symptoms, swollen lymph nodes, muscle aches and pains, headache, sore throat, vision problems","toxoplasmosis: Mild flu-like symptoms, swollen lymph nodes, muscle aches and pains, headache, sore throat, vision problems"
tracheal cancer,"Cough that doesn't go away, difficulty breathing, hoarseness, wheezing, chest pain, recurrent pneumonia","tracheal cancer: Cough that doesn't go away, difficulty breathing, hoarseness, wheezing, chest pain, recurrent pneumonia"
transient global amnesia,"Sudden, temporary loss of memory, confusion, disorientation, repetitive questioning, no loss of consciousness","transient global amnesia: Sudden, temporary loss of memory, confusion, disorientation, repetitive questioning, no loss of consciousness"
transient ischemic attack (tia),"Sudden weakness or numbness in the face, arm, or leg (usually on one side of the body), speech difficulties, dizziness","transient ischemic attack (tia): Sudden weakness or numbness in the face, arm, or leg (usually on one side of the body), speech difficulties, dizziness"
traumatic brain injury (tbi),"Headache, confusion, dizziness, blurred vision, memory problems, mood swings, nausea and vomiting","traumatic brain injury (tbi): Headache, confusion, dizziness, blurred vision, memory problems, mood swings, nausea and vomiting"
trichinosis,"Abdominal pain, diarrhea, vomiting, fever, muscle pain and swelling, weakness, headache","trichinosis: Abdominal pain, diarrhea, vomiting, fever, muscle pain and swelling, weakness, headache"
trichomoniasis,"Genital itching, burning, or redness, unusual vaginal discharge (frothy, greenish-yellow), pain during urination","trichomoniasis: Genital itching, burning, or redness, unusual vaginal discharge (frothy, greenish-yellow), pain during urination"
trichotillomania,"Compulsive hair pulling, resulting in hair loss, tension or relief before or after pulling","trichotillomania: Compulsive hair pulling, resulting in hair loss, tension or relief before or after pulling"
trichuriasis,"Abdominal pain, diarrhea, bloody stools, weight loss, anemia, rectal prolapse","trichuriasis: Abdominal pain, diarrhea, bloody stools, weight loss, anemia, rectal prolapse"
trigeminal neuralgia,"Severe, shooting pain in the face, often triggered by touch, chewing, or speaking, episodes lasting seconds to minutes","trigeminal neuralgia: Severe, shooting pain in the face, often triggered by touch, chewing, or speaking, episodes lasting seconds to minutes"
tropical sprue,"Diarrhea, malabsorption of nutrients (leading to weight loss and malnutrition), abdominal pain, fatigue, bloating","tropical sprue: Diarrhea, malabsorption of nutrients (leading to weight loss and malnutrition), abdominal pain, fatigue, bloating"
tuberculosis (tb),"Cough (sometimes with blood), chest pain, fatigue, fever, night sweats, weight loss","tuberculosis (tb): Cough (sometimes with blood), chest pain, fatigue, fever, night sweats, weight loss"
tuberous sclerosis,"Skin abnormalities (facial rash, patches of light-colored skin), seizures, developmental delays, behavioral problems","tuberous sclerosis: Skin abnormalities (facial rash, patches of light-colored skin), seizures, developmental delays, behavioral problems"
tuberous sclerosis complex (tsc),"Facial rash (adenoma sebaceum), seizures, developmental delays, intellectual disability, behavioral problems","tuberous sclerosis complex (tsc): Facial rash (adenoma sebaceum), seizures, developmental delays, intellectual disability, behavioral problems"
turner syndrome,"Short stature, webbed neck, low hairline at the back of the neck, swollen hands and feet, delayed puberty","turner syndrome: Short stature, webbed neck, low hairline at the back of the neck, swollen hands and feet, delayed puberty"
type 1 diabetes,"Frequent urination, increased thirst and hunger, unexplained weight loss, fatigue, blurred vision","type 1 diabetes: Frequent urination, increased thirst and hunger, unexplained weight loss, fatigue, blurred vision"
type 2 diabetes,"Fatigue, increased thirst and hunger, frequent urination, blurred vision, slow healing of wounds","type 2 diabetes: Fatigue, increased thirst and hunger, frequent urination, blurred vision, slow healing of wounds"
typhoid fever,"Sustained fever as high as 104 F (40 C), weakness, headache, abdominal pain, diarrhea or constipation","typhoid fever: Sustained fever as high as 104 F (40 C), weakness, headache, abdominal pain, diarrhea or constipation"
ulcerative colitis,"Diarrhea (with blood or pus), abdominal pain and cramping, rectal pain, urgency to defecate, weight loss","ulcerative colitis: Diarrhea (with blood or pus), abdominal pain and cramping, rectal pain, urgency to defecate, weight loss"
ulcerative proctitis,"Rectal bleeding, rectal pain or discomfort, diarrhea, urgency to defecate, feeling of incomplete evacuation","ulcerative proctitis: Rectal bleeding, rectal pain or discomfort, diarrhea, urgency to defecate, feeling of incomplete evacuation"
ulcers,"Abdominal pain, bloating, heartburn, nausea, vomiting, weight loss, poor appetite, dark stools","ulcers: Abdominal pain, bloating, heartburn, nausea, vomiting, weight loss, poor appetite, dark stools"
ulnar nerve entrapment,"Numbness or tingling in the fingers (especially the ring and little fingers), weakness in the hand, difficulty gripping objects","ulnar nerve entrapment: Numbness or tingling in the fingers (especially the ring and little fingers), weakness in the hand, difficulty gripping objects"
uremia,"Fatigue, nausea, vomiting, loss of appetite, swelling, confusion, itching, muscle cramps","uremia: Fatigue, nausea, vomiting, loss of appetite, swelling, confusion, itching, muscle cramps"
ureteral stricture,"Flank pain, urinary frequency, urgency, difficulty urinating, blood in the urine, urinary tract infections","ureteral stricture: Flank pain, urinary frequency, urgency, difficulty urinating, blood in the urine, urinary tract infections"
urethral cancer,"Blood in the urine, frequent urination, painful urination, weak urine flow, pelvic pain, swelling in the legs or pelvis","urethral cancer: Blood in the urine, frequent urination, painful urination, weak urine flow, pelvic pain, swelling in the legs or pelvis"
urethral stricture,"Decreased urine stream, straining to urinate, dribbling after urination, incomplete bladder emptying, urinary tract infections","urethral stricture: Decreased urine stream, straining to urinate, dribbling after urination, incomplete bladder emptying, urinary tract infections"
urge incontinence,"Sudden, intense urge to urinate followed by involuntary leakage, frequent urination, nocturia","urge incontinence: Sudden, intense urge to urinate followed by involuntary leakage, frequent urination, nocturia"
urinary incontinence,"Involuntary leakage of urine, frequent urination, nocturia, urgency, dribbling after urination","urinary incontinence: Involuntary leakage of urine, frequent urination, nocturia, urgency, dribbling after urination"
urinary retention,"Difficulty starting urination, weak urine stream, straining during urination, incomplete bladder emptying, abdominal pain","urinary retention: Difficulty starting urination, weak urine stream, straining during urination, incomplete bladder emptying, abdominal pain"
urinary tract infection (uti),"Strong, persistent urge to urinate, burning sensation when urinating, cloudy or bloody urine, strong-smelling urine","urinary tract infection (uti): Strong, persistent urge to urinate, burning sensation when urinating, cloudy or bloody urine, strong-smelling urine"
urolithiasis,"Severe pain in the back or side, blood in the urine, nausea, vomiting, frequent urination, painful urination","urolithiasis: Severe pain in the back or side, blood in the urine, nausea, vomiting, frequent urination, painful urination"
urticaria,"Raised, red, itchy welts (hives) on the skin, swelling, burning or stinging sensation, usually disappears within 24 hours","urticaria: Raised, red, itchy welts (hives) on the skin, swelling, burning or stinging sensation, usually disappears within 24 hours"
usher syndrome,"Hearing loss or deafness, gradual vision loss (retinitis pigmentosa), balance problems, night blindness","usher syndrome: Hearing loss or deafness, gradual vision loss (retinitis pigmentosa), balance problems, night blindness"
uterine cancer,"Abnormal vaginal bleeding, pelvic pain, pain during intercourse, vaginal discharge, feeling of pelvic pressure","uterine cancer: Abnormal vaginal bleeding, pelvic pain, pain during intercourse, vaginal discharge, feeling of pelvic pressure"
uterine fibroids,"Heavy menstrual bleeding, prolonged periods, pelvic pain or pressure, frequent urination, constipation","uterine fibroids: Heavy menstrual bleeding, prolonged periods, pelvic pain or pressure, frequent urination, constipation"
uterine prolapse,"Sensation of heaviness or pulling in the pelvis, tissue protruding from the vagina, difficulty inserting tampons or having sex","uterine prolapse: Sensation of heaviness or pulling in the pelvis, tissue protruding from the vagina, difficulty inserting tampons or having sex"
uveitis,"Eye redness, pain, and sensitivity to light, blurred vision, floaters, decreased vision, pupil constriction or dilation","uveitis: Eye redness, pain, and sensitivity to light, blurred vision, floaters, decreased vision, pupil constriction or dilation"
vaginal cancer,"Abnormal vaginal bleeding, pelvic pain, pain during intercourse, unusual vaginal discharge, painful urination","vaginal cancer: Abnormal vaginal bleeding, pelvic pain, pain during intercourse, unusual vaginal discharge, painful urination"
vaginal yeast infection,"Vaginal itching, burning, and irritation, thick, white vaginal discharge resembling cottage cheese, pain during sex","vaginal yeast infection: Vaginal itching, burning, and irritation, thick, white vaginal discharge resembling cottage cheese, pain during sex"
vaginismus,"Involuntary tightening of the vaginal muscles, pain or discomfort during penetration, fear or anxiety about sex","vaginismus: Involuntary tightening of the vaginal muscles, pain or discomfort during penetration, fear or anxiety about sex"
valley fever (coccidioidomycosis),"Fever, cough, chest pain, headache, fatigue, skin rash, joint pain, muscle aches, swollen lymph nodes","valley fever (coccidioidomycosis): Fever, cough, chest pain, headache, fatigue, skin rash, joint pain, muscle aches, swollen lymph nodes"
van der woude syndrome,"Cleft lip or palate, pits or sinuses near the lower lip, missing teeth, dental abnormalities","van der woude syndrome: Cleft lip or palate, pits or sinuses near the lower lip, missing teeth, dental abnormalities"
vanishing twin syndrome,"Early ultrasound detection of twins, followed by the disappearance of one twin, without evidence of miscarriage","vanishing twin syndrome: Early ultrasound detection of twins, followed by the disappearance of one twin, without evidence of miscarriage"
varicella (chickenpox),"Rash of itchy, fluid-filled blisters, fever, headache, loss of appetite, tiredness, body aches","varicella (chickenpox): Rash of itchy, fluid-filled blisters, fever, headache, loss of appetite, tiredness, body aches"
varicocele,"Enlarged, twisted veins in the scrotum, lump or swelling in the scrotum, aching or discomfort, infertility in some cases","varicocele: Enlarged, twisted veins in the scrotum, lump or swelling in the scrotum, aching or discomfort, infertility in some cases"
varicose eczema,"Red, itchy, swollen, and scaly skin on the legs, often around varicose veins, skin discoloration, ulcers","varicose eczema: Red, itchy, swollen, and scaly skin on the legs, often around varicose veins, skin discoloration, ulcers"
varicose veins,"Twisted, bulging veins visible just under the surface of the skin, aching, heavy, or uncomfortable legs, swelling, itching","varicose veins: Twisted, bulging veins visible just under the surface of the skin, aching, heavy, or uncomfortable legs, swelling, itching"
vascular dementia,"Memory loss, confusion, difficulty with problem-solving or organizing, trouble with language, disorientation","vascular dementia: Memory loss, confusion, difficulty with problem-solving or organizing, trouble with language, disorientation"
vasculitis,"Fatigue, fever, weight loss, muscle and joint pain, skin rash, nerve problems, organ damage","vasculitis: Fatigue, fever, weight loss, muscle and joint pain, skin rash, nerve problems, organ damage"
vasomotor rhinitis,"Nasal congestion, sneezing, runny nose, postnasal drip, itching or watery eyes, throat irritation","vasomotor rhinitis: Nasal congestion, sneezing, runny nose, postnasal drip, itching or watery eyes, throat irritation"
vasovagal syncope,"Dizziness, lightheadedness, blurred vision, nausea, sweating, feeling faint or actually fainting","vasovagal syncope: Dizziness, lightheadedness, blurred vision, nausea, sweating, feeling faint or actually fainting"
venous insufficiency,"Swelling in the legs, ankles, or feet, aching or throbbing pain in the legs, skin discoloration or texture changes, leg ulcers","venous insufficiency: Swelling in the legs, ankles, or feet, aching or throbbing pain in the legs, skin discoloration or texture changes, leg ulcers"
ventricular septal defect,"Rapid breathing, difficulty feeding, poor weight gain, excessive sweating, fatigue, rapid heart rate","ventricular septal defect: Rapid breathing, difficulty feeding, poor weight gain, excessive sweating, fatigue, rapid heart rate"
vertigo,"Spinning sensation (often described as feeling like the room is spinning), nausea, vomiting, loss of balance, ringing in the ears (tinnitus)","vertigo: Spinning sensation (often described as feeling like the room is spinning), nausea, vomiting, loss of balance, ringing in the ears (tinnitus)"
vestibular neuritis,"Sudden onset of vertigo (spinning sensation), dizziness, nausea, vomiting, difficulty walking or standing","vestibular neuritis: Sudden onset of vertigo (spinning sensation), dizziness, nausea, vomiting, difficulty walking or standing"
viral gastroenteritis,"Diarrhea, nausea, vomiting, abdominal pain or cramping, fever, headache, muscle aches","viral gastroenteritis: Diarrhea, nausea, vomiting, abdominal pain or cramping, fever, headache, muscle aches"
viral infection,"Fever, fatigue, muscle aches, cough, sore throat, runny or stuffy nose, headache, nausea, vomiting","viral infection: Fever, fatigue, muscle aches, cough, sore throat, runny or stuffy nose, headache, nausea, vomiting"
vitamin b12 deficiency,"Fatigue, weakness, constipation, loss of appetite, weight loss, numbness or tingling in hands and feet, difficulty maintaining balance","vitamin b12 deficiency: Fatigue, weakness, constipation, loss of appetite, weight loss, numbness or tingling in hands and feet, difficulty maintaining balance"
vitamin d deficiency,"Fatigue, bone pain or tenderness, muscle weakness, mood changes, difficulty thinking clearly, increased risk of infections","vitamin d deficiency: Fatigue, bone pain or tenderness, muscle weakness, mood changes, difficulty thinking clearly, increased risk of infections"
vitamin deficiency,"Fatigue, weakness, shortness of breath, dizziness, pale or yellowish skin, tingling or numbness in hands and feet, muscle weakness","vitamin deficiency: Fatigue, weakness, shortness of breath, dizziness, pale or yellowish skin, tingling or numbness in hands and feet, muscle weakness"
vitreous detachment,"Floaters (dark spots or strands in vision), flashes of light, sudden decrease in vision, feeling of a curtain or veil over the eye","vitreous detachment: Floaters (dark spots or strands in vision), flashes of light, sudden decrease in vision, feeling of a curtain or veil over the eye"
vitreous detachment,"Difficulty breathing, feeling of throat tightness or choking, wheezing, cough, voice changes","vitreous detachment: Difficulty breathing, feeling of throat tightness or choking, wheezing, cough, voice changes"
vocal cord dysfunction,"Hoarseness, breathiness, rough or raspy voice, pain or discomfort while speaking, sensation of a lump in the throat","vocal cord dysfunction: Hoarseness, breathiness, rough or raspy voice, pain or discomfort while speaking, sensation of a lump in the throat"
vocal cord nodules,"Hoarseness, weak or breathy voice, difficulty speaking loudly or for long periods, choking or coughing while eating or drinking","vocal cord nodules: Hoarseness, weak or breathy voice, difficulty speaking loudly or for long periods, choking or coughing while eating or drinking"
vocal cord paralysis,"Hoarseness, breathiness, rough or raspy voice, pain or discomfort while speaking, sensation of a lump in the throat","vocal cord paralysis: Hoarseness, breathiness, rough or raspy voice, pain or discomfort while speaking, sensation of a lump in the throat"
vocal cord polyps,"Nausea, abdominal discomfort, retching, forceful expulsion of stomach contents through the mouth","vocal cord polyps: Nausea, abdominal discomfort, retching, forceful expulsion of stomach contents through the mouth"
vomiting,"Headaches, problems with balance and walking, dizziness, weakness or numbness, vision problems, high blood pressure","vomiting: Headaches, problems with balance and walking, dizziness, weakness or numbness, vision problems, high blood pressure"
von hippel-lindau disease,"Frequent or prolonged nosebleeds, excessive bleeding from minor cuts or injuries, easy bruising, heavy menstrual bleeding, blood in the urine or stool","von hippel-lindau disease: Frequent or prolonged nosebleeds, excessive bleeding from minor cuts or injuries, easy bruising, heavy menstrual bleeding, blood in the urine or stool"
von willebrand disease,"Lump, ulcer, or mass on the vulva, itching, pain, bleeding not related to menstruation, changes in skin color or texture","von willebrand disease: Lump, ulcer, or mass on the vulva, itching, pain, bleeding not related to menstruation, changes in skin color or texture"
vulvar cancer,"Pain or burning sensation in the vulva, especially during intercourse, redness or swelling around the vaginal opening, tenderness to touch","vulvar cancer: Pain or burning sensation in the vulva, especially during intercourse, redness or swelling around the vaginal opening, tenderness to touch"
vulvar vestibulitis,"Itching, burning, or pain in the vulva, redness or swelling, vaginal discharge, tenderness or soreness","vulvar vestibulitis: Itching, burning, or pain in the vulva, redness or swelling, vaginal discharge, tenderness or soreness"
vulvitis,"Chronic pain or discomfort in the vulva, burning, stinging, soreness, throbbing, itching, pain during intercourse or prolonged sitting","vulvitis: Chronic pain or discomfort in the vulva, burning, stinging, soreness, throbbing, itching, pain during intercourse or prolonged sitting"
vulvodynia,"Fatigue, weakness, weight loss, night sweats, easy bruising or bleeding, enlarged lymph nodes or spleen, vision problems","vulvodynia: Fatigue, weakness, weight loss, night sweats, easy bruising or bleeding, enlarged lymph nodes or spleen, vision problems"
waldenstrãâm macroglobulinemia,"Small, fleshy bumps on the skin or mucous membranes, rough texture, black dots (clotted blood vessels), sometimes painful or itchy","waldenstrãâm macroglobulinemia: Small, fleshy bumps on the skin or mucous membranes, rough texture, black dots (clotted blood vessels), sometimes painful or itchy"
warts (verruca),"Symptoms vary depending on the specific disease but may include diarrhea, vomiting, fever, abdominal pain, fatigue, and dehydration","warts (verruca): Symptoms vary depending on the specific disease but may include diarrhea, vomiting, fever, abdominal pain, fatigue, and dehydration"
waterborne diseases,"Sinus pain, nasal congestion, nosebleeds, cough, shortness of breath, chest pain, joint pain, fatigue","waterborne diseases: Sinus pain, nasal congestion, nosebleeds, cough, shortness of breath, chest pain, joint pain, fatigue"
wegener's granulomatosis,"High fever, chills, headache, muscle aches, jaundice (yellowing of the skin and eyes), nausea, vomiting, diarrhea, abdominal pain","wegener's granulomatosis: High fever, chills, headache, muscle aches, jaundice (yellowing of the skin and eyes), nausea, vomiting, diarrhea, abdominal pain"
weil's disease,"Mental confusion, abnormal eye movements (including rapid, involuntary eye movements), vision changes, ataxia (lack of muscle coordination)","weil's disease: Mental confusion, abnormal eye movements (including rapid, involuntary eye movements), vision changes, ataxia (lack of muscle coordination)"
wernicke encephalopathy,"Fever, headache, body aches, joint pain, vomiting, diarrhea, rash, fatigue, swollen lymph nodes, neurological symptoms","wernicke encephalopathy: Fever, headache, body aches, joint pain, vomiting, diarrhea, rash, fatigue, swollen lymph nodes, neurological symptoms"
